               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.034366,            0.051931,            0.036444,             0.88334,             0.18398,             0.27719,             0.16373,             0.03841,             0.04507,             0.04293,           0.0090694,           0.0090694,           0.0090694
                  49,            0.035181,            0.047854,            0.034942,             0.91955,             0.18411,             0.29539,              0.1945,            0.032209,             0.04589,            0.042603,           0.0090496,           0.0090496,           0.0090496
                  50,            0.033109,            0.049878,             0.03547,              0.9203,             0.18359,             0.31241,             0.17387,            0.037712,             0.04593,            0.042229,           0.0090298,           0.0090298,           0.0090298
                  51,            0.034506,            0.049021,            0.034667,             0.95115,              0.1602,             0.28604,             0.15394,            0.038158,            0.045455,              0.0417,             0.00901,             0.00901,             0.00901
                  52,            0.036472,            0.050965,             0.03518,             0.91812,             0.18863,             0.28846,             0.17396,            0.036376,            0.046135,            0.041616,           0.0089902,           0.0089902,           0.0089902
                  53,            0.035806,            0.048811,            0.034081,             0.93741,             0.17584,             0.27043,             0.14936,            0.039699,              0.0452,            0.041143,           0.0089704,           0.0089704,           0.0089704
                  54,             0.03435,            0.048223,            0.035471,             0.92467,             0.17387,             0.26765,             0.15035,            0.035366,            0.044405,            0.040623,           0.0089506,           0.0089506,           0.0089506
                  55,            0.035587,            0.049643,            0.034985,             0.89812,             0.20149,             0.26117,             0.14633,            0.036653,            0.044119,             0.04033,           0.0089308,           0.0089308,           0.0089308
                  56,            0.032686,             0.04953,             0.03224,             0.91442,             0.18833,              0.2792,             0.15738,            0.036403,            0.044169,            0.039762,            0.008911,            0.008911,            0.008911
                  57,            0.033304,            0.047809,            0.034534,             0.93397,              0.1865,             0.27839,             0.17858,            0.031548,            0.041939,            0.039132,           0.0088912,           0.0088912,           0.0088912
                  58,            0.034774,            0.049887,            0.032649,             0.92348,             0.15551,             0.28372,             0.16684,             0.04239,            0.042713,            0.039076,           0.0088714,           0.0088714,           0.0088714
                  59,            0.033356,            0.043693,            0.033296,             0.92291,             0.15322,             0.25977,               0.134,            0.041266,            0.042501,            0.038501,           0.0088516,           0.0088516,           0.0088516
                  60,            0.034983,            0.048766,            0.031297,             0.94106,             0.17151,             0.29353,             0.18329,            0.036232,            0.042926,            0.038421,           0.0088318,           0.0088318,           0.0088318
                  61,            0.031595,             0.04929,            0.033343,              0.9512,             0.14877,             0.30403,             0.14363,            0.038694,            0.045331,            0.038256,            0.008812,            0.008812,            0.008812
